subject,action,object,place,time,adjective
Elon Musk,launches,a secret AI robot,in USA,today,shocking
Virat Kohli,buys,a private jet,in Dubai,yesterday,viral
Narendra Modi,announces,a new scheme,in India,this morning,breaking
Scientists,discover,a hidden planet,on Mars,last night,mysterious
A hacker,leaks,government data,on dark web,at midnight,controversial
NASA,finds,water on Mars,in space,today,unbelievable
A robot,attacks,a human,in Japan,yesterday,dangerous
Google,creates,a new AI,in California,this morning,exclusive
A YouTuber,exposes,a scam,in India,last night,shocking
Aliens,visit,earth,in secret base,at midnight,crazy
